date,open,high,low,close,market_cap,avg_block_size,blocks_size,cost_per_transaction_percent,cost_per_transaction,difficulty,est_transaction_volume_USD,est_transaction_volume,hash_rate,median_confirmation_time,miners_revenue,n_transactions_excl_chains_longer_than_100,n_transactions_excl_popular,n_transactions_per_block,n_transactions,n_unique_addresses,output_volume,total_bitcoins,trade_volume,transaction_fees_USD,transaction_fees,mempool_count_mean,mempool_count_stddev,mempool_count_min,mempool_count_max,mempool_growth_mean,mempool_growth_stddev,mempool_growth_min,mempool_growth_max,mempool_size_mean,mempool_size_stddev,mempool_size_min,mempool_size_max,wallets_created,transactions_per_sec_mean,transactions_per_sec_stddev,transactions_per_sec_min,transactions_per_sec_max,utxo_count_mean,utxo_count_stddev,utxo_count_min,utxo_count_max,news_stories_total,news_stories_positive,news_stories_negative,news_stories_neutral
6/2/2017,2404.03,2488.55,2373.32,2488.55,40732491835,0.981988616,118259.5413,0.772890482,20.67573528,5.95922E+11,726398967.5,296956.9405,4325022.12,12.76666667,5437774.587,184629,266135,1859.856164,271539,534561,2928808.543,16367962.5,122456001.8,1150058.577,470.15193,84205.73553,4479.257924,75111,101662,1743.099965,815.0695739,636.3,16125,101000925.8,1979602.857,95058491.5,107479895.5,14245077,3.365428241,0.739183324,1.283333333,7.366666667,54211455.17,20057.57626,54165533,54236553,71,32,21,18
6/1/2017,2288.33,2448.39,2288.33,2407.88,39407633763,0.977746641,118116.171,0.683627204,20.21753473,5.95922E+11,945504768.8,394084.6752,5035984.66,15.075,6245228.674,224706,314252,1880.641176,319709,610354,3357411.231,16366137.5,198826825,1365337.135,569.0700451,82495.0713,5645.24924,38298,94495,1752.275637,1015.922173,701.7166667,27619.65,100201210.1,3219505.575,49015351,105599882,14218866,3.54375,0.725377685,1.016666667,7.066666667,54134114.04,15141.37931,54109850,54167010,87,37,29,21
5/31/2017,2187.19,2311.08,2145.57,2286.41,37414813240,0.976696451,117949.9541,0.701566209,18.62398445,5.95922E+11,853819146.4,373509.9869,4858244.025,16.825,5808558.076,228463,316863,1961.182927,321634,614126,3330411.624,16364012.5,204425185.1,1303942.091,570.4198544,80435.7162,4730.91695,51261.33333,92679.5,1867.031574,1130.153693,277.9333333,16479.71667,98377464.45,4172388.46,63047618,107418480,14191518,3.678912037,0.765888339,0.75,8.666666667,54078365.17,28465.21938,54036967,54131756,84,38,30,16
5/30/2017,2255.36,2301.96,2124.57,2175.47,35594903085,0.980603117,117789.7758,0.707056037,18.18520836,5.95922E+11,894942261,399669.5809,5302595.613,13.925,6132063.831,234575,342419,1943.916201,347961,634488,3826430.148,16361962.5,148703191.1,1317521.331,588.387901,79639.21829,6260.749298,63866,96508.5,2127.653449,1392.655632,681.2,25239.03333,99717932.23,7929221.583,78770622.5,113882445,14164776,4.057060185,0.967740172,1.633333333,8.333333333,54006229,18969.22349,53966372,54034055,60,30,17,13
5/29/2017,2159.43,2307.05,2107.17,2255.61,36901102917,0.977900742,117614.2479,0.944378884,16.85804336,5.95922E+11,574153810.8,252272.0972,4473139.316,10.71666667,5260813.813,229240,317854,2130.05298,321638,594355,2525128.965,16359725,133826839.1,1126368.153,494.9044156,78498.16875,7234.350647,62127,93965.5,1636.853287,891.0539734,574.8833333,19261.26667,92361032.42,3649123.264,78691138,99447956,14137661,3.732893519,1.134517242,1.55,9.85,53882782.54,45739.06301,53818655,53961935,36,15,13,8
5/28/2017,2054.08,2267.34,2054.08,2155.8,35264171110,0.977982139,117466.5849,1.049294019,17.67793355,5.95922E+11,519142526.1,236729.1707,4887867.464,9.783333333,5262057.43,235008,300226,1867.533333,308143,592662,2786546.068,16357837.5,185870201.1,924308.5783,421.48503,88153.10897,9463.272905,57739.25,106417.5,1525.52147,1023.436915,559.9,18037.61667,96797439.71,4598550.028,64027701,108675471,14109805,3.052905093,0.799428804,1.5,7.883333333,53840320.75,8896.130513,53817870,53859715,17,7,8,2
5/27/2017,2196.27,2260.2,1855.83,2038.87,33347170525,0.991460917,117305.2178,0.819121572,15.9517178,5.95922E+11,646375171.1,320932.559,4976737.782,17,5121736.684,255800,327292,1975.678571,331914,651462,2657377.951,16355775,321289966.6,1065087.242,528.8278222,137215.3162,16312.8011,64377,169483,1619.092662,1056.465345,471.2166667,15609.23333,104002201.6,8922480.271,48682181.33,119290937,14086510,3.060601852,0.833002172,0.433333333,10.51666667,53810981.42,21900.83151,53759696,53838041,25,14,4,7
5/26/2017,2320.89,2573.79,2071.99,2202.42,36017660894,0.958775268,117138.6524,0.556801656,15.80843634,5.95922E+11,946402388.9,427853.6576,4532386.194,15.36666667,5119620.436,249637,328442,2178.69281,333340,641520,2804635.981,16353675,324426983.6,1039178.432,469.7962497,150234.5517,19069.75884,0,168869,1492.236442,1045.906009,40.53333333,24675.43333,105359419.7,14477929.46,0,121496489,14060114,3.257839551,0.963154429,0.15,12.1,53707186.29,44754.39947,53619646,53765669,114,51,41,22
5/25/2017,2446.24,2763.71,2285.3,2304.98,37690456715,0.976875767,116991.9598,0.500690328,17.29396973,5.95922E+11,1209302552,506576.4779,4828620.586,11.7,5871333.86,252424,343608,2147.93865,350114,659055,3530884.929,16351762.5,401279047.7,1190928.112,498.8794305,148178.5419,11364.2439,0,169059,1677.655208,1079.282276,214.6333333,29255.01667,103601475.4,7127463.819,0,116089315,14025468,3.569236111,0.88280704,0.716666667,13.3,53571233.5,31639.91213,53505814,53622658,153,73,53,27
5/24/2017,2321.37,2523.72,2321.37,2443.64,39952841999,0.970548169,116832.729,0.532235249,16.84718405,5.95922E+11,1071925264,450541.3764,4562009.633,18,5524488.081,234682,327095,2198.974026,338642,631835,3588186.521,16349725,248904779.1,1125215.972,472.9400169,154019.8531,4788.460458,87072.66667,165916,1541.164965,835.453046,494.5833333,12159.01667,109095471.5,5819508.823,60096538.67,122841295,13984593,3.250972222,0.90593547,0.8,11.45,53421092.75,42770.81446,53352256,53503595,86,49,18,19
